bees,plants,repeat,total_trips,total_pollen_collected,avg_distance_per_bee,avg_trips_per_bee,total_plant_visits,plants_visited,visitation_rate,avg_pollen_level,pollen_per_distance,pollen_per_bee_per_step
100,10,0,10,640.0,2419.8692030340944,0.1,20,7,0.7,0.36,0.0026447710446397326,0.0064
100,10,1,9,600.0,2291.2120537460823,0.09,18,6,0.6,0.4,0.0026187013071051757,0.006
200,10,0,16,970.0,2293.9943683345105,0.08,30,10,1.0,0.03,0.002114216175483118,0.00485
200,10,1,14,970.0,2255.167334454147,0.07,32,10,1.0,0.03,0.002150616464642044,0.00485
400,10,0,12,1000.0,2352.264537239426,0.03,32,10,1.0,0.0,0.0010628056327941556,0.0025
400,10,1,20,1000.0,2294.9297528702486,0.05,31,10,1.0,0.0,0.0010893579626449444,0.0025
100,20,0,32,1795.0,2219.309272885402,0.32,57,19,0.95,0.1025,0.008088102104247315,0.01795
100,20,1,33,1740.0,2166.9643295471415,0.33,58,19,0.95,0.13,0.008029666092213112,0.0174
200,20,0,25,1735.0,2453.412425527511,0.125,57,20,1.0,0.1325,0.003535891442359015,0.008675
200,20,1,33,1785.0,2261.3629879901187,0.165,59,19,0.95,0.1075,0.0039467347999413704,0.008925
400,20,0,44,2000.0,2256.0007707977893,0.11,65,20,1.0,0.0,0.002216311299500066,0.005
400,20,1,42,2000.0,2278.5385062323653,0.105,66,20,1.0,0.0,0.0021943890727866857,0.005
