bees,plants,repeat,total_trips,total_pollen_collected,avg_distance_per_bee,avg_trips_per_bee,total_plant_visits,plants_visited,visitation_rate,avg_pollen_level,pollen_per_distance,pollen_per_bee_per_step
20,10,0,4,270.0,2186.577774468895,0.2,8,3,0.3,0.73,0.006174031474036664,0.0135
20,10,1,9,505.0,1991.9952167942697,0.45,15,6,0.6,0.495,0.012675733248313207,0.02525
20,10,2,9,505.0,2155.5054183402567,0.45,15,6,0.6,0.495,0.011714189992360374,0.02525
20,10,3,19,670.0,1919.3675277605162,0.95,20,8,0.8,0.32999999999999996,0.017453666124635964,0.0335
20,10,4,7,410.0,2165.5431752643917,0.35,12,7,0.7,0.5900000000000001,0.00946644714091057,0.0205
20,10,5,8,380.0,2310.036175156891,0.4,11,7,0.7,0.62,0.008224979419947643,0.019
20,10,6,13,570.0,2053.354607327559,0.65,17,6,0.6,0.43,0.013879726326030335,0.0285
20,10,7,4,240.0,2152.3697052419975,0.2,7,5,0.5,0.76,0.005575250372078064,0.012
20,10,8,7,310.0,2092.7266374223027,0.35,9,4,0.4,0.6900000000000001,0.007406605202431974,0.0155
20,10,9,6,270.0,2159.9329477893625,0.3,8,4,0.4,0.7300000000000001,0.006250194022836178,0.0135
30,10,0,18,710.0,2123.321231025036,0.6,21,9,0.9,0.29,0.011146060389195822,0.023666666666666666
30,10,1,4,340.0,2227.0658881040436,0.13333333333333333,10,4,0.4,0.6599999999999999,0.005088907963554541,0.011333333333333334
30,10,2,13,605.0,2151.2154451427805,0.43333333333333335,18,7,0.7,0.39499999999999996,0.009374545312140117,0.020166666666666666
30,10,3,13,570.0,2013.6899710355312,0.43333333333333335,17,7,0.7,0.43,0.009435414722867857,0.019
30,10,4,12,540.0,2187.6159741310407,0.4,16,8,0.8,0.4600000000000001,0.008228135199620635,0.018
30,10,5,19,740.0,2088.1509291496745,0.6333333333333333,22,9,0.9,0.26,0.011812683806678327,0.024666666666666667
30,10,6,16,710.0,2104.0008614060966,0.5333333333333333,21,9,0.9,0.29,0.011248411110844467,0.023666666666666666
30,10,7,9,405.0,2235.2652152846795,0.3,12,6,0.6,0.595,0.0060395517756404865,0.0135
30,10,8,10,410.0,2166.6922887660057,0.3333333333333333,12,6,0.6,0.5900000000000001,0.006307617716427205,0.013666666666666667
30,10,9,4,310.0,2265.7347990648614,0.13333333333333333,9,5,0.5,0.69,0.0045606985149357375,0.010333333333333333
40,10,0,11,540.0,2257.978308654735,0.275,16,7,0.7,0.4600000000000001,0.005978799684768925,0.0135
40,10,1,7,405.0,2193.540800550369,0.175,12,6,0.6,0.595,0.004615824787694668,0.010125
40,10,2,1,210.0,2348.83085276934,0.025,6,4,0.4,0.79,0.0022351545637311846,0.00525
40,10,3,10,540.0,2176.121244124585,0.25,16,7,0.7,0.45999999999999996,0.006203698454968584,0.0135
40,10,4,13,570.0,2067.941735431724,0.325,17,7,0.7,0.43,0.006890909814257911,0.01425
40,10,5,19,875.0,2287.474996303168,0.475,26,10,1.0,0.125,0.009562946058581013,0.021875
40,10,6,7,375.0,2351.244763464553,0.175,11,7,0.7,0.625,0.003987249709462812,0.009375
40,10,7,22,770.0,2202.960678304682,0.55,23,9,0.9,0.22999999999999998,0.008738240400556808,0.01925
40,10,8,7,470.0,2253.3988631431444,0.175,14,6,0.6,0.53,0.005214345401599502,0.01175
40,10,9,17,635.0,2243.3983411230015,0.425,19,7,0.7,0.365,0.0070763179721588295,0.015875
60,10,0,8,545.0,2313.9917172877254,0.13333333333333333,16,8,0.8,0.45499999999999996,0.003925395784899388,0.009083333333333334
