bees,plants,repeat,total_trips,total_pollen_collected,avg_distance_per_bee,avg_trips_per_bee,total_plant_visits,plants_visited,visitation_rate,avg_pollen_level,pollen_per_distance,pollen_per_bee_per_step
20,10,0,13,540.0,2190.666085310807,0.65,16,8,0.8,0.45999999999999996,0.01232501848686323,0.027
20,10,1,14,610.0,1883.7463714727335,0.7,18,7,0.7,0.39,0.016191139349696407,0.0305
40,10,0,22,940.0,2135.7901485446437,0.55,28,10,1.0,0.06,0.011002953645054134,0.0235
40,10,1,18,635.0,2189.992223474501,0.45,19,7,0.7,0.365,0.0072488841877318385,0.015875
80,10,0,24,1000.0,2183.938011934043,0.3,30,10,1.0,0.0,0.0057236056754789945,0.0125
80,10,1,15,635.0,2327.1428193204074,0.1875,19,7,0.7,0.365,0.003410834923452604,0.0079375
160,10,0,27,1000.0,2287.5937491550685,0.16875,30,10,1.0,0.0,0.0027321284656895315,0.00625
160,10,1,22,1000.0,2245.169624424988,0.1375,30,10,1.0,0.0,0.002783754034442138,0.00625
20,25,0,27,1050.0,1934.1728927317058,1.35,31,15,0.6,0.58,0.02714338526679084,0.0525
20,25,1,31,1320.0,1894.647040148057,1.55,39,18,0.72,0.47200000000000003,0.03483498435404752,0.066
40,25,0,38,1520.0,2010.3700092462095,0.95,45,19,0.76,0.392,0.018901993078502072,0.038
40,25,1,43,1640.0,1919.67846629563,1.075,49,18,0.72,0.344,0.021357743351217033,0.041
80,25,0,30,1150.0,2160.7398746410267,0.375,34,14,0.56,0.54,0.006652813773980166,0.014375
80,25,1,28,1175.0,2231.461963364271,0.35,35,14,0.56,0.53,0.00658200777836981,0.0146875
160,25,0,52,2205.0,2224.3850038286228,0.325,66,23,0.92,0.11800000000000001,0.006195532687138083,0.01378125
160,25,1,69,2400.0,2251.7569110615564,0.43125,72,24,0.96,0.04,0.006661465065928665,0.015
20,50,0,45,1760.0,1775.0732031610853,2.25,52,24,0.48,0.648,0.049575420238043066,0.088
20,50,1,44,1650.0,2036.2523979908735,2.2,49,20,0.4,0.67,0.04051560606209769,0.0825
40,50,0,50,2055.0,1904.4267830105684,1.25,61,25,0.5,0.589,0.026976621237590998,0.051375
40,50,1,57,2350.0,2687.756195462741,1.425,70,28,0.56,0.53,0.02185838138860107,0.05875
80,50,0,71,2945.0,1945.2142416345407,0.8875,88,34,0.68,0.41100000000000003,0.018924650669361175,0.0368125
80,50,1,76,3080.0,1949.0728667364087,0.95,92,35,0.7,0.384,0.019752981356959555,0.0385
160,50,0,110,4245.0,2109.504516214724,0.6875,127,45,0.9,0.15100000000000002,0.012577005546121057,0.02653125
160,50,1,94,3850.0,2121.739822913023,0.5875,115,42,0.84,0.23000000000000004,0.011340928675676933,0.0240625
20,100,0,64,2405.0,1555.4628887004224,3.2,71,29,0.29,0.7595000000000001,0.07730817679646988,0.12025
20,100,1,41,1575.0,1801.5425129089792,2.05,47,19,0.19,0.8425,0.0437125404678023,0.07875
40,100,0,114,4175.0,1572.2386463093312,2.85,124,51,0.51,0.5825,0.0663862322968651,0.104375
40,100,1,78,2990.0,1821.461826146718,1.95,89,36,0.36,0.701,0.041038466426789065,0.07475
80,100,0,111,4425.0,1772.414968970872,1.3875,132,51,0.51,0.5574999999999999,0.031207420930391052,0.0553125
80,100,1,73,2980.0,1974.876082382411,0.9125,89,34,0.34,0.7020000000000001,0.018861942950396716,0.03725
160,100,0,103,4555.0,2022.05083275026,0.64375,136,51,0.51,0.5445,0.01407914654711162,0.02846875
160,100,1,161,6500.0,1923.516164049322,1.00625,194,72,0.72,0.35,0.021120176039736316,0.040625
