metric_avg_distance_per_bee,metric_avg_pollen_level,metric_avg_trips_per_bee,metric_plant_visitation_rate,metric_plants_visited,metric_pollen_per_bee_per_step,metric_pollen_per_distance,metric_total_plant_visits,metric_total_pollen_collected,metric_total_trips,param_attraction_strength,param_bee_velocity_mean,param_bee_velocity_std,param_dt,param_max_steps,param_num_bees,param_num_hives,param_num_plants,param_simulation_bounds_max,param_simulation_bounds_min,run_name,timestamp
2022.05083275026,0.5445,0.64375,0.51,51,0.02846875,0.01407914654711162,136,4555.0,103,0.4,24,1.0,0.05,1000,160,2,100,500,-500,sweep_160bees_100plants_r0,2025-12-12T06:55:01.255415
1923.516164049322,0.35,1.00625,0.72,72,0.040625,0.021120176039736316,194,6500.0,161,0.4,24,1.0,0.05,1000,160,2,100,500,-500,sweep_160bees_100plants_r1,2025-12-12T06:55:25.190259
2287.5937491550685,0.0,0.16875,1.0,10,0.00625,0.0027321284656895315,30,1000.0,27,0.4,24,1.0,0.05,1000,160,2,10,500,-500,sweep_160bees_10plants_r0,2025-12-12T06:52:34.382790
2245.169624424988,0.0,0.1375,1.0,10,0.00625,0.002783754034442138,30,1000.0,22,0.4,24,1.0,0.05,1000,160,2,10,500,-500,sweep_160bees_10plants_r1,2025-12-12T06:52:38.073280
2224.3850038286228,0.11800000000000001,0.325,0.92,23,0.01378125,0.006195532687138083,66,2205.0,52,0.4,24,1.0,0.05,1000,160,2,25,500,-500,sweep_160bees_25plants_r0,2025-12-12T06:52:59.750169
2251.7569110615564,0.04,0.43125,0.96,24,0.015,0.006661465065928665,72,2400.0,69,0.4,24,1.0,0.05,1000,160,2,25,500,-500,sweep_160bees_25plants_r1,2025-12-12T06:53:06.460875
2109.504516214724,0.15100000000000002,0.6875,0.9,45,0.02653125,0.012577005546121057,127,4245.0,110,0.4,24,1.0,0.05,1000,160,2,50,500,-500,sweep_160bees_50plants_r0,2025-12-12T06:53:40.217015
2121.739822913023,0.23000000000000004,0.5875,0.84,42,0.0240625,0.011340928675676933,115,3850.0,94,0.4,24,1.0,0.05,1000,160,2,50,500,-500,sweep_160bees_50plants_r1,2025-12-12T06:53:53.638295
1555.4628887004224,0.7595000000000001,3.2,0.29,29,0.12025,0.07730817679646988,71,2405.0,64,0.4,24,1.0,0.05,1000,20,2,100,500,-500,sweep_20bees_100plants_r0,2025-12-12T06:53:56.068812
1801.5425129089792,0.8425,2.05,0.19,19,0.07875,0.0437125404678023,47,1575.0,41,0.4,24,1.0,0.05,1000,20,2,100,500,-500,sweep_20bees_100plants_r1,2025-12-12T06:53:58.996914
2190.666085310807,0.45999999999999996,0.65,0.8,8,0.027,0.01232501848686323,16,540.0,13,0.4,24,1.0,0.05,1000,20,2,10,500,-500,sweep_20bees_10plants_r0,2025-12-12T06:52:25.092981
1883.7463714727335,0.39,0.7,0.7,7,0.0305,0.016191139349696407,18,610.0,14,0.4,24,1.0,0.05,1000,20,2,10,500,-500,sweep_20bees_10plants_r1,2025-12-12T06:52:25.553925
1934.1728927317058,0.58,1.35,0.6,15,0.0525,0.02714338526679084,31,1050.0,27,0.4,24,1.0,0.05,1000,20,2,25,500,-500,sweep_20bees_25plants_r0,2025-12-12T06:52:38.924892
1894.647040148057,0.47200000000000003,1.55,0.72,18,0.066,0.03483498435404752,39,1320.0,31,0.4,24,1.0,0.05,1000,20,2,25,500,-500,sweep_20bees_25plants_r1,2025-12-12T06:52:39.720695
1775.0732031610853,0.648,2.25,0.48,24,0.088,0.049575420238043066,52,1760.0,45,0.4,24,1.0,0.05,1000,20,2,50,500,-500,sweep_20bees_50plants_r0,2025-12-12T06:53:07.872735
2036.2523979908735,0.67,2.2,0.4,20,0.0825,0.04051560606209769,49,1650.0,44,0.4,24,1.0,0.05,1000,20,2,50,500,-500,sweep_20bees_50plants_r1,2025-12-12T06:53:09.304274
1572.2386463093312,0.5825,2.85,0.51,51,0.104375,0.0663862322968651,124,4175.0,114,0.4,24,1.0,0.05,1000,40,2,100,500,-500,sweep_40bees_100plants_r0,2025-12-12T06:54:03.611465
1821.461826146718,0.701,1.95,0.36,36,0.07475,0.041038466426789065,89,2990.0,78,0.4,24,1.0,0.05,1000,40,2,100,500,-500,sweep_40bees_100plants_r1,2025-12-12T06:54:09.018858
2135.7901485446437,0.06,0.55,1.0,10,0.0235,0.011002953645054134,28,940.0,22,0.4,24,1.0,0.05,1000,40,2,10,500,-500,sweep_40bees_10plants_r0,2025-12-12T06:52:26.403879
2189.992223474501,0.365,0.45,0.7,7,0.015875,0.0072488841877318385,19,635.0,18,0.4,24,1.0,0.05,1000,40,2,10,500,-500,sweep_40bees_10plants_r1,2025-12-12T06:52:27.319884
2010.3700092462095,0.392,0.95,0.76,19,0.038,0.018901993078502072,45,1520.0,38,0.4,24,1.0,0.05,1000,40,2,25,500,-500,sweep_40bees_25plants_r0,2025-12-12T06:52:41.557270
1919.67846629563,0.344,1.075,0.72,18,0.041,0.021357743351217033,49,1640.0,43,0.4,24,1.0,0.05,1000,40,2,25,500,-500,sweep_40bees_25plants_r1,2025-12-12T06:52:43.258007
1904.4267830105684,0.589,1.25,0.5,25,0.051375,0.026976621237590998,61,2055.0,50,0.4,24,1.0,0.05,1000,40,2,50,500,-500,sweep_40bees_50plants_r0,2025-12-12T06:53:12.620408
2687.756195462741,0.53,1.425,0.56,28,0.05875,0.02185838138860107,70,2350.0,57,0.4,24,1.0,0.05,1000,40,2,50,500,-500,sweep_40bees_50plants_r1,2025-12-12T06:53:15.792317
1772.414968970872,0.5574999999999999,1.3875,0.51,51,0.0553125,0.031207420930391052,132,4425.0,111,0.4,24,1.0,0.05,1000,80,2,100,500,-500,sweep_80bees_100plants_r0,2025-12-12T06:54:20.205324
1974.876082382411,0.7020000000000001,0.9125,0.34,34,0.03725,0.018861942950396716,89,2980.0,73,0.4,24,1.0,0.05,1000,80,2,100,500,-500,sweep_80bees_100plants_r1,2025-12-12T06:54:34.601513
2183.938011934043,0.0,0.3,1.0,10,0.0125,0.0057236056754789945,30,1000.0,24,0.4,24,1.0,0.05,1000,80,2,10,500,-500,sweep_80bees_10plants_r0,2025-12-12T06:52:29.069011
2327.1428193204074,0.365,0.1875,0.7,7,0.0079375,0.003410834923452604,19,635.0,15,0.4,24,1.0,0.05,1000,80,2,10,500,-500,sweep_80bees_10plants_r1,2025-12-12T06:52:31.010619
2160.7398746410267,0.54,0.375,0.56,14,0.014375,0.006652813773980166,34,1150.0,30,0.4,24,1.0,0.05,1000,80,2,25,500,-500,sweep_80bees_25plants_r0,2025-12-12T06:52:47.530010
2231.461963364271,0.53,0.35,0.56,14,0.0146875,0.00658200777836981,35,1175.0,28,0.4,24,1.0,0.05,1000,80,2,25,500,-500,sweep_80bees_25plants_r1,2025-12-12T06:52:51.856993
1945.2142416345407,0.41100000000000003,0.8875,0.68,34,0.0368125,0.018924650669361175,88,2945.0,71,0.4,24,1.0,0.05,1000,80,2,50,500,-500,sweep_80bees_50plants_r0,2025-12-12T06:53:22.173712
1949.0728667364087,0.384,0.95,0.7,35,0.0385,0.019752981356959555,92,3080.0,76,0.4,24,1.0,0.05,1000,80,2,50,500,-500,sweep_80bees_50plants_r1,2025-12-12T06:53:28.447218
