bees,plants,repeat,total_trips,total_pollen_collected,avg_distance_per_bee,avg_trips_per_bee,total_plant_visits,plants_visited,visitation_rate,avg_pollen_level,pollen_per_distance,pollen_per_bee_per_step
20,10,0,12,510.0,2179.929117613404,0.6,18,6,0.6,0.49000000000000005,0.011697628053116478,0.0255
20,10,1,11,540.0,1947.8791127677953,0.55,19,7,0.7,0.45999999999999996,0.01386122979758993,0.027
20,10,2,9,410.0,2164.4706796727437,0.45,13,6,0.6,0.5900000000000001,0.009471137767086541,0.0205
20,10,3,5,340.0,2325.7843036063578,0.25,10,5,0.5,0.6599999999999999,0.007309362254117816,0.017
20,10,4,7,335.0,2117.6504825864167,0.35,11,4,0.4,0.665,0.007909709433986573,0.01675
20,10,5,12,475.0,2105.5618611582245,0.6,16,6,0.6,0.525,0.01127964959763074,0.02375
20,10,6,15,750.0,2077.279831637366,0.75,24,10,1.0,0.25,0.018052454671184825,0.0375
20,10,7,10,540.0,2358.9326964498896,0.5,17,7,0.7,0.45999999999999996,0.01144585432243745,0.027
20,10,8,7,335.0,2348.6140429188954,0.35,11,4,0.4,0.665,0.007131865727577286,0.01675
20,10,9,4,380.0,1945.0425941413,0.2,11,6,0.6,0.62,0.00976842361048044,0.019
30,10,0,7,445.0,2426.0106791360245,0.23333333333333334,13,7,0.7,0.5549999999999999,0.006114290205274747,0.014833333333333334
30,10,1,11,645.0,2239.696876175574,0.36666666666666664,20,8,0.8,0.355,0.009599513321960169,0.0215
30,10,2,17,735.0,2019.9328547802966,0.5666666666666667,25,8,0.8,0.265,0.0121291160456246,0.0245
30,10,3,7,480.0,2220.541220944641,0.23333333333333334,15,7,0.7,0.52,0.0072054505672240745,0.016
30,10,4,12,575.0,2286.7866236892282,0.4,20,8,0.8,0.425,0.008381484511110817,0.019166666666666665
30,10,5,12,540.0,2231.7110662639852,0.4,19,6,0.6,0.45999999999999996,0.008065560220630643,0.018
30,10,6,13,705.0,2211.396096154878,0.43333333333333335,22,9,0.9,0.295,0.01062677104335186,0.0235
30,10,7,15,745.0,2057.853406527311,0.5,23,9,0.9,0.255,0.012067591041501992,0.024833333333333332
30,10,8,16,710.0,2296.211385668402,0.5333333333333333,22,8,0.8,0.29,0.010306832730810435,0.023666666666666666
30,10,9,11,805.0,2550.038047339806,0.36666666666666664,26,10,1.0,0.195,0.010522718812499996,0.026833333333333334
40,10,0,12,640.0,2404.6367010618487,0.3,19,9,0.9,0.36,0.006653811776612516,0.016
40,10,1,17,905.0,2255.4997870176967,0.425,27,10,1.0,0.095,0.010031036194384037,0.022625
40,10,2,15,785.0,2355.25304755176,0.375,28,10,1.0,0.215,0.008332438002956756,0.019625
40,10,3,12,705.0,2379.458128169119,0.3,21,8,0.8,0.29500000000000004,0.007407148624027945,0.017625
40,10,4,13,710.0,2239.02090741923,0.325,22,8,0.8,0.29,0.007927572244271378,0.01775
40,10,5,10,615.0,2477.239879759226,0.25,19,8,0.8,0.385,0.006206504313782631,0.015375
40,10,6,11,510.0,2040.110879711908,0.275,19,6,0.6,0.49000000000000005,0.006249660313463196,0.01275
40,10,7,7,505.0,2175.9998986181786,0.175,16,6,0.6,0.495,0.0058019304173760455,0.012625
40,10,8,15,770.0,2215.969529038219,0.375,25,9,0.9,0.22999999999999998,0.008686942553923535,0.01925
40,10,9,14,725.0,3632.9979181581775,0.35,23,9,0.9,0.275,0.004988992674454611,0.018125
60,10,0,15,855.0,2186.011202501749,0.25,29,10,1.0,0.145,0.006518722311986231,0.01425
60,10,1,18,905.0,2311.2398803141173,0.3,29,10,1.0,0.095,0.006526078691270843,0.015083333333333334
60,10,2,9,680.0,2293.7231818849705,0.15,23,8,0.8,0.32,0.0049410205306551665,0.011333333333333334
60,10,3,16,870.0,2267.7386223645112,0.26666666666666666,27,9,0.9,0.13,0.006394034946091464,0.0145
60,10,4,17,910.0,2149.5047975638504,0.2833333333333333,29,10,1.0,0.09,0.007055888725559426,0.015166666666666667
60,10,5,18,970.0,2218.6587908257043,0.3,31,10,1.0,0.03,0.007286684520178076,0.016166666666666666
60,10,6,17,920.0,2234.181470809197,0.2833333333333333,30,10,1.0,0.08,0.006863065303186747,0.015333333333333332
60,10,7,10,750.0,2283.076089801652,0.16666666666666666,24,9,0.9,0.25,0.005475069383730426,0.0125
60,10,8,18,1000.0,2237.089928709584,0.3,32,10,1.0,0.0,0.007450154977131592,0.016666666666666666
60,10,9,18,940.0,2363.820849215875,0.3,29,10,1.0,0.06,0.00662768782662341,0.015666666666666666
70,10,0,13,670.0,2479.0772065202073,0.18571428571428572,22,8,0.8,0.32999999999999996,0.0038608836167969315,0.009571428571428571
70,10,1,19,950.0,2184.139137322006,0.2714285714285714,32,10,1.0,0.05,0.006213628216043338,0.013571428571428571
70,10,2,23,1000.0,2201.2198397050856,0.32857142857142857,35,10,1.0,0.0,0.006489908017378333,0.014285714285714285
70,10,3,17,870.0,2259.002179900678,0.24285714285714285,27,9,0.9,0.13,0.005501797005400799,0.012428571428571428
