bees,plants,repeat,total_trips,total_pollen_collected,avg_distance_per_bee,avg_trips_per_bee,total_plant_visits,plants_visited,visitation_rate,avg_pollen_level,pollen_per_distance,pollen_per_bee_per_step
20,10,0,11,540.0,2027.2567899907692,0.55,17,6,0.6,0.45999999999999996,0.013318490352730765,0.027
30,10,0,8,475.0,2175.4322685083175,0.26666666666666666,14,7,0.7,0.525,0.007278246977640985,0.015833333333333335
40,10,0,6,345.0,2323.5096763543797,0.15,10,6,0.6,0.655,0.003712056845630507,0.008625
60,10,0,11,680.0,2224.1343291468734,0.18333333333333332,21,8,0.8,0.32,0.005095615487253658,0.011333333333333334
70,10,0,20,935.0,2338.711055534299,0.2857142857142857,31,10,1.0,0.065,0.005711326683787921,0.013357142857142857
80,10,0,18,880.0,2188.178742991776,0.225,30,9,0.9,0.12,0.005027011634780945,0.011
120,10,0,10,540.0,2227.2331372544677,0.08333333333333333,17,8,0.8,0.45999999999999996,0.0020204440768815043,0.0045
160,10,0,20,1000.0,2262.093713797725,0.125,32,10,1.0,0.0,0.0027629270891289305,0.00625
200,10,0,9,775.0,2415.1489933144417,0.045,25,9,0.9,0.225,0.0016044558785924526,0.003875
20,25,0,19,945.0,2020.3353792075268,0.95,31,11,0.44,0.622,0.023387206147196082,0.04725
30,25,0,16,825.0,1988.887295618442,0.5333333333333333,29,9,0.36,0.67,0.013826826718931255,0.0275
40,25,0,17,960.0,2074.591995365456,0.425,33,13,0.52,0.616,0.011568539767633784,0.024
60,25,0,28,1550.0,2187.528194573496,0.4666666666666667,50,19,0.76,0.38,0.011809371599148728,0.025833333333333333
70,25,0,36,1630.0,2195.847037720485,0.5142857142857142,58,22,0.88,0.34800000000000003,0.010604433681267367,0.023285714285714285
80,25,0,23,1610.0,2123.43190454342,0.2875,56,21,0.84,0.35600000000000004,0.009477582001541638,0.020125
120,25,0,18,1435.0,2140.445326513971,0.15,46,20,0.8,0.426,0.005586843627914212,0.011958333333333333
160,25,0,24,1550.0,2172.8101143727463,0.15,53,19,0.76,0.38,0.004458512014427279,0.0096875
200,25,0,37,1980.0,2352.3915157501624,0.185,71,22,0.88,0.20799999999999996,0.004208483126093471,0.0099
20,50,0,32,1295.0,1705.2057414954531,1.6,46,17,0.34,0.741,0.03797195753235895,0.06475
30,50,0,28,1265.0,2112.732469984915,0.9333333333333333,45,16,0.32,0.747,0.019958355951696875,0.042166666666666665
40,50,0,47,1990.0,1903.9028104173674,1.175,72,25,0.5,0.602,0.026130535512521234,0.04975
60,50,0,34,1715.0,2042.3494668320802,0.5666666666666667,58,23,0.46,0.6569999999999999,0.013995319507032939,0.028583333333333332
70,50,0,26,1475.0,2132.831794993607,0.37142857142857144,50,18,0.36,0.705,0.009879554787625307,0.02107142857142857
80,50,0,36,1830.0,2196.059291135359,0.45,65,24,0.48,0.634,0.01041638542836139,0.022875
120,50,0,41,2120.0,2122.349258730498,0.3416666666666667,76,28,0.56,0.576,0.008324109047553341,0.017666666666666667
160,50,0,65,3300.0,2105.5417727597965,0.40625,117,37,0.74,0.34,0.009795578632935977,0.020625
200,50,0,63,3565.0,2100.066295401677,0.315,128,39,0.78,0.28700000000000003,0.008487827283848025,0.017825
20,75,0,30,1310.0,1703.093492320321,1.5,46,18,0.24,0.8253333333333334,0.03845942709273217,0.0655
30,75,0,29,1285.0,2020.4308305542575,0.9666666666666667,45,17,0.22666666666666666,0.8286666666666668,0.021200098852967423,0.042833333333333334
40,75,0,38,1705.0,1937.720434619942,0.95,61,23,0.30666666666666664,0.7726666666666667,0.021997497285185172,0.042625
60,75,0,60,2540.0,1866.9299652466084,1.0,89,29,0.38666666666666666,0.6613333333333332,0.022675373003476,0.042333333333333334
70,75,0,67,3215.0,1829.9346412960751,0.9571428571428572,116,40,0.5333333333333333,0.5713333333333334,0.02509847641118041,0.04592857142857143
80,75,0,47,2440.0,2104.6784838982167,0.5875,86,33,0.44,0.6746666666666666,0.014491524588358454,0.0305
120,75,0,85,3810.0,1977.0952150883595,0.7083333333333334,139,44,0.5866666666666667,0.492,0.016058912973789703,0.03175
160,75,0,64,3580.0,2119.004111867726,0.4,127,44,0.5866666666666667,0.5226666666666666,0.010559205560143203,0.022375
200,75,0,94,4655.0,2084.788935921452,0.47,167,52,0.6933333333333334,0.3793333333333333,0.011164199693775105,0.023275
20,100,0,43,1815.0,1796.7669313984934,2.15,65,24,0.24,0.8184999999999999,0.05050738546783347,0.09075
30,100,0,47,1940.0,1759.2825548170138,1.5666666666666667,69,25,0.25,0.8059999999999999,0.03675740800680694,0.06466666666666666
40,100,0,75,3250.0,1706.7942792373244,1.875,116,41,0.41,0.675,0.04760386239184391,0.08125
60,100,0,91,3760.0,1826.03741531671,1.5166666666666666,136,42,0.42,0.624,0.03431839136538048,0.06266666666666666
70,100,0,69,3130.0,1973.2980664151676,0.9857142857142858,113,39,0.39,0.687,0.022659671377227283,0.04471428571428571
80,100,0,84,3815.0,1950.1111099891157,1.05,140,47,0.47,0.6185,0.024453734843993664,0.0476875
120,100,0,92,3930.0,2041.953963939342,0.7666666666666667,139,44,0.44,0.607,0.016038559428058128,0.03275
160,100,0,115,5235.0,1901.7958789172524,0.71875,189,61,0.61,0.4765,0.017204133399756724,0.03271875
200,100,0,97,4610.0,2050.2754408142564,0.485,167,55,0.55,0.539,0.011242391895815622,0.02305
