metric_avg_distance_per_bee,metric_avg_pollen_level,metric_avg_trips_per_bee,metric_plant_visitation_rate,metric_plants_visited,metric_pollen_per_bee_per_step,metric_pollen_per_distance,metric_total_plant_visits,metric_total_pollen_collected,metric_total_trips,param_attraction_strength,param_bee_velocity_mean,param_bee_velocity_std,param_dt,param_max_steps,param_num_bees,param_num_hives,param_num_plants,param_simulation_bounds_max,param_simulation_bounds_min,run_name,timestamp
2259.319599474095,0.065,0.16,1.0,10,0.00935,0.004138414061550395,29,935.0,16,0.4,24,1.0,0.05,1000,100,2,10,500,-500,sweep_100bees_10plants_r0,2025-12-13T23:08:57.259456
2335.873688881163,0.03,0.18,1.0,10,0.0097,0.004152621798932161,30,970.0,18,0.4,24,1.0,0.05,1000,100,2,10,500,-500,sweep_100bees_10plants_r1,2025-12-13T23:08:59.319888
2205.3173271311166,0.4625,0.14,0.6,12,0.01075,0.0048745819332878535,36,1075.0,14,0.4,24,1.0,0.05,1000,100,2,20,500,-500,sweep_100bees_20plants_r0,2025-12-13T23:09:29.368506
2172.7411507343845,0.06999999999999999,0.38,1.0,20,0.0186,0.008560614776276142,64,1860.0,38,0.4,24,1.0,0.05,1000,100,2,20,500,-500,sweep_100bees_20plants_r1,2025-12-13T23:09:32.853881
2258.2523318560143,0.0,0.11,1.0,10,0.005,0.0022141015552015818,32,1000.0,22,0.4,24,1.0,0.05,1000,200,2,10,500,-500,sweep_200bees_10plants_r0,2025-12-13T23:09:03.716186
2288.738177354763,0.06,0.09,1.0,10,0.0047,0.0020535332728324925,29,940.0,18,0.4,24,1.0,0.05,1000,200,2,10,500,-500,sweep_200bees_10plants_r1,2025-12-13T23:09:07.776214
2208.8495517725614,0.0375,0.175,1.0,20,0.009625,0.004357471966470561,63,1925.0,35,0.4,24,1.0,0.05,1000,200,2,20,500,-500,sweep_200bees_20plants_r0,2025-12-13T23:09:40.037667
2314.7847419940954,0.125,0.17,0.95,19,0.00875,0.003780049108351311,57,1750.0,34,0.4,24,1.0,0.05,1000,200,2,20,500,-500,sweep_200bees_20plants_r1,2025-12-13T23:09:47.889172
2351.3144139187284,0.0,0.05,1.0,10,0.0025,0.0010632350931892049,32,1000.0,20,0.4,24,1.0,0.05,1000,400,2,10,500,-500,sweep_400bees_10plants_r0,2025-12-13T23:09:15.814664
2315.9162046896063,0.0,0.035,1.0,10,0.0025,0.0010794863799206697,34,1000.0,14,0.4,24,1.0,0.05,1000,400,2,10,500,-500,sweep_400bees_10plants_r1,2025-12-13T23:09:25.119465
2311.227950779856,0.0,0.105,1.0,20,0.005,0.0021633521688386023,66,2000.0,42,0.4,24,1.0,0.05,1000,400,2,20,500,-500,sweep_400bees_20plants_r0,2025-12-13T23:10:02.003860
2317.2771144450667,0.0,0.0825,1.0,20,0.005,0.0021577048203824264,64,2000.0,33,0.4,24,1.0,0.05,1000,400,2,20,500,-500,sweep_400bees_20plants_r1,2025-12-13T23:10:16.311624
