bees,plants,repeat,total_trips,total_pollen_collected,avg_distance_per_bee,avg_trips_per_bee,total_plant_visits,plants_visited,visitation_rate,avg_pollen_level,pollen_per_distance,pollen_per_bee_per_step
100,10,0,16,935.0,2259.319599474095,0.16,29,10,1.0,0.065,0.004138414061550395,0.00935
100,10,1,18,970.0,2335.873688881163,0.18,30,10,1.0,0.03,0.004152621798932161,0.0097
200,10,0,22,1000.0,2258.2523318560143,0.11,32,10,1.0,0.0,0.0022141015552015818,0.005
200,10,1,18,940.0,2288.738177354763,0.09,29,10,1.0,0.06,0.0020535332728324925,0.0047
400,10,0,20,1000.0,2351.3144139187284,0.05,32,10,1.0,0.0,0.0010632350931892049,0.0025
400,10,1,14,1000.0,2315.9162046896063,0.035,34,10,1.0,0.0,0.0010794863799206697,0.0025
100,20,0,14,1075.0,2205.3173271311166,0.14,36,12,0.6,0.4625,0.0048745819332878535,0.01075
100,20,1,38,1860.0,2172.7411507343845,0.38,64,20,1.0,0.06999999999999999,0.008560614776276142,0.0186
200,20,0,35,1925.0,2208.8495517725614,0.175,63,20,1.0,0.0375,0.004357471966470561,0.009625
200,20,1,34,1750.0,2314.7847419940954,0.17,57,19,0.95,0.125,0.003780049108351311,0.00875
400,20,0,42,2000.0,2311.227950779856,0.105,66,20,1.0,0.0,0.0021633521688386023,0.005
400,20,1,33,2000.0,2317.2771144450667,0.0825,64,20,1.0,0.0,0.0021577048203824264,0.005
