metric_avg_distance_per_bee,metric_avg_pollen_level,metric_avg_trips_per_bee,metric_plant_visitation_rate,metric_plants_visited,metric_pollen_per_bee_per_step,metric_pollen_per_distance,metric_total_plant_visits,metric_total_pollen_collected,metric_total_trips,param_attraction_strength,param_bee_velocity_mean,param_bee_velocity_std,param_dt,param_max_steps,param_num_bees,param_num_hives,param_num_plants,param_simulation_bounds_max,param_simulation_bounds_min,run_name,timestamp
1905.7612589197722,0.44049999999999995,1.0666666666666667,0.62,62,0.046625,0.02446528901864029,205,5595.0,128,0.4,24,1.0,0.05,1000,120,2,100,500,-500,sweep_120bees_100plants_r0,2025-12-17T10:45:26.554150
1990.3052024548267,0.623,0.7,0.44,44,0.03141666666666667,0.015784848789983364,136,3770.0,84,0.4,24,1.0,0.05,1000,120,2,100,500,-500,sweep_120bees_100plants_r1,2025-12-17T10:45:46.936287
2314.4002090540916,0.195,0.08333333333333333,0.9,9,0.0067083333333333335,0.002898519152862964,24,805.0,10,0.4,24,1.0,0.05,1000,120,2,10,500,-500,sweep_120bees_10plants_r0,2025-12-17T10:36:44.430141
2515.422166662828,0.11000000000000001,0.06666666666666667,1.0,10,0.007416666666666667,0.002948477899638709,30,890.0,8,0.4,24,1.0,0.05,1000,120,2,10,500,-500,sweep_120bees_10plants_r1,2025-12-17T10:36:47.580464
2095.092976112736,0.15,0.2833333333333333,0.92,23,0.017708333333333333,0.008452289962896833,74,2125.0,34,0.4,24,1.0,0.05,1000,120,2,25,500,-500,sweep_120bees_25plants_r0,2025-12-17T10:37:37.103611
2147.916534644335,0.376,0.21666666666666667,0.84,21,0.013,0.006052376705667764,51,1560.0,26,0.4,24,1.0,0.05,1000,120,2,25,500,-500,sweep_120bees_25plants_r1,2025-12-17T10:37:43.294346
2000.2468365473105,0.251,0.675,0.84,42,0.031208333333333334,0.01560224106500927,133,3745.0,81,0.4,24,1.0,0.05,1000,120,2,50,500,-500,sweep_120bees_50plants_r0,2025-12-17T10:39:20.037724
2139.558682225704,0.37,0.625,0.7,35,0.02625,0.012268885269691734,112,3150.0,75,0.4,24,1.0,0.05,1000,120,2,50,500,-500,sweep_120bees_50plants_r1,2025-12-17T10:39:30.117246
2009.8918503046064,0.2346666666666667,1.1833333333333333,0.8533333333333334,64,0.04783333333333333,0.023798958797750246,211,5740.0,142,0.4,24,1.0,0.05,1000,120,2,75,500,-500,sweep_120bees_75plants_r0,2025-12-17T10:41:53.703521
1928.2176017819613,0.43600000000000005,0.7833333333333333,0.6533333333333333,49,0.03525,0.018281131739189462,151,4230.0,94,0.4,24,1.0,0.05,1000,120,2,75,500,-500,sweep_120bees_75plants_r1,2025-12-17T10:42:08.355979
2094.8956114380935,0.5984999999999999,0.48125,0.51,51,0.02509375,0.01197852048712526,145,4015.0,77,0.4,24,1.0,0.05,1000,160,2,100,500,-500,sweep_160bees_100plants_r0,2025-12-17T10:46:14.980169
2079.1927546578445,0.357,0.9625,0.73,73,0.0401875,0.019328414794622214,235,6430.0,154,0.4,24,1.0,0.05,1000,160,2,100,500,-500,sweep_160bees_100plants_r1,2025-12-17T10:46:38.248109
2250.6280095131715,0.0,0.1375,1.0,10,0.00625,0.0027770026737345744,33,1000.0,22,0.4,24,1.0,0.05,1000,160,2,10,500,-500,sweep_160bees_10plants_r0,2025-12-17T10:36:50.853048
2307.5201329413117,0.0,0.125,1.0,10,0.00625,0.0027085354146112487,31,1000.0,20,0.4,24,1.0,0.05,1000,160,2,10,500,-500,sweep_160bees_10plants_r1,2025-12-17T10:36:54.185395
2207.6787826017544,0.294,0.1375,0.92,23,0.01103125,0.0049967640613910545,57,1765.0,22,0.4,24,1.0,0.05,1000,160,2,25,500,-500,sweep_160bees_25plants_r0,2025-12-17T10:37:52.071459
2257.1278273164507,0.242,0.1875,0.88,22,0.01184375,0.005247265953068018,63,1895.0,30,0.4,24,1.0,0.05,1000,160,2,25,500,-500,sweep_160bees_25plants_r1,2025-12-17T10:38:00.505446
2147.4533040505085,0.4989999999999999,0.28125,0.6,30,0.01565625,0.007290612545785891,87,2505.0,45,0.4,24,1.0,0.05,1000,160,2,50,500,-500,sweep_160bees_50plants_r0,2025-12-17T10:39:45.878046
1974.2358468137086,0.072,0.61875,0.98,49,0.029,0.014689227757060618,167,4640.0,99,0.4,24,1.0,0.05,1000,160,2,50,500,-500,sweep_160bees_50plants_r1,2025-12-17T10:39:58.282445
1979.5653519816428,0.26066666666666666,0.83125,0.8,60,0.03465625,0.01750699968824337,201,5545.0,133,0.4,24,1.0,0.05,1000,160,2,75,500,-500,sweep_160bees_75plants_r0,2025-12-17T10:42:26.880371
2066.554638981071,0.4446666666666667,0.49375,0.6266666666666667,47,0.02603125,0.012596448944042866,150,4165.0,79,0.4,24,1.0,0.05,1000,160,2,75,500,-500,sweep_160bees_75plants_r1,2025-12-17T10:42:49.963286
1924.5306281594717,0.2275,0.935,0.83,83,0.038625,0.020069828681780498,284,7725.0,187,0.4,24,1.0,0.05,1000,200,2,100,500,-500,sweep_200bees_100plants_r0,2025-12-17T10:47:06.340158
1927.230459268838,0.24850000000000003,0.805,0.83,83,0.037575,0.019496889860414195,271,7515.0,161,0.4,24,1.0,0.05,1000,200,2,100,500,-500,sweep_200bees_100plants_r1,2025-12-17T10:47:34.596574
2325.94802214242,0.0,0.09,1.0,10,0.005,0.002149661106955659,30,1000.0,18,0.4,24,1.0,0.05,1000,200,2,10,500,-500,sweep_200bees_10plants_r0,2025-12-17T10:36:58.702627
2238.076288087312,0.2,0.07,0.8,8,0.004,0.001787249175236314,26,800.0,14,0.4,24,1.0,0.05,1000,200,2,10,500,-500,sweep_200bees_10plants_r1,2025-12-17T10:37:03.336321
2198.7272863800185,0.057999999999999996,0.22,1.0,25,0.011775,0.005355370842459659,76,2355.0,44,0.4,24,1.0,0.05,1000,200,2,25,500,-500,sweep_200bees_25plants_r0,2025-12-17T10:38:09.596703
2313.6275527952203,0.28200000000000003,0.14,0.88,22,0.008975,0.0038791896254679412,57,1795.0,28,0.4,24,1.0,0.05,1000,200,2,25,500,-500,sweep_200bees_25plants_r1,2025-12-17T10:38:20.312862
2076.08575771151,0.275,0.395,0.82,41,0.018125,0.008730371533389531,126,3625.0,79,0.4,24,1.0,0.05,1000,200,2,50,500,-500,sweep_200bees_50plants_r0,2025-12-17T10:40:15.692340
2211.7488003565627,0.14,0.46,0.94,47,0.0215,0.009720814586418639,151,4300.0,92,0.4,24,1.0,0.05,1000,200,2,50,500,-500,sweep_200bees_50plants_r1,2025-12-17T10:40:31.756608
2033.2217433242936,0.102,0.735,0.96,72,0.033675,0.01656238435899361,244,6735.0,147,0.4,24,1.0,0.05,1000,200,2,75,500,-500,sweep_200bees_75plants_r0,2025-12-17T10:43:12.867312
2008.9746106270118,0.3953333333333333,0.48,0.7066666666666667,53,0.022675,0.011286852447041633,162,4535.0,96,0.4,24,1.0,0.05,1000,200,2,75,500,-500,sweep_200bees_75plants_r1,2025-12-17T10:43:38.472639
1614.3510202571833,0.75,3.15,0.33,33,0.125,0.0774304958658162,91,2500.0,63,0.4,24,1.0,0.05,1000,20,2,100,500,-500,sweep_20bees_100plants_r0,2025-12-17T10:43:40.683961
1787.0867075911733,0.892,1.1,0.17,17,0.054,0.03021677670737475,38,1080.0,22,0.4,24,1.0,0.05,1000,20,2,100,500,-500,sweep_20bees_100plants_r1,2025-12-17T10:43:44.272981
2034.7071174130986,0.315,0.7,1.0,10,0.03425,0.01683288946447734,22,685.0,14,0.4,24,1.0,0.05,1000,20,2,10,500,-500,sweep_20bees_10plants_r0,2025-12-17T10:36:28.023672
2072.823466744233,0.355,0.65,0.9,9,0.03225,0.015558488466292217,21,645.0,13,0.4,24,1.0,0.05,1000,20,2,10,500,-500,sweep_20bees_10plants_r1,2025-12-17T10:36:28.486999
1978.3862481090277,0.596,1.2,0.56,14,0.0505,0.025525854745638617,36,1010.0,24,0.4,24,1.0,0.05,1000,20,2,25,500,-500,sweep_20bees_25plants_r0,2025-12-17T10:37:04.263794
1917.520471337871,0.538,1.4,0.6,15,0.05775,0.030117018755845312,41,1155.0,28,0.4,24,1.0,0.05,1000,20,2,25,500,-500,sweep_20bees_25plants_r1,2025-12-17T10:37:05.156423
2035.9838694738967,0.7979999999999999,1.1,0.28,14,0.0505,0.02480373285720055,36,1010.0,22,0.4,24,1.0,0.05,1000,20,2,50,500,-500,sweep_20bees_50plants_r0,2025-12-17T10:38:22.102059
1799.3343161560497,0.6809999999999999,2.05,0.44,22,0.07975,0.04432194689109879,56,1595.0,41,0.4,24,1.0,0.05,1000,20,2,50,500,-500,sweep_20bees_50plants_r1,2025-12-17T10:38:23.521507
1794.357562726403,0.7966666666666666,1.85,0.26666666666666666,20,0.07625,0.042494317511691124,53,1525.0,37,0.4,24,1.0,0.05,1000,20,2,75,500,-500,sweep_20bees_75plants_r0,2025-12-17T10:40:33.972325
