bees,plants,repeat,total_trips,total_pollen_collected,avg_distance_per_bee,avg_trips_per_bee,total_plant_visits,plants_visited,visitation_rate,avg_pollen_level,pollen_per_distance,pollen_per_bee_per_step
20,10,0,14,685.0,2034.7071174130986,0.7,22,10,1.0,0.315,0.01683288946447734,0.03425
20,10,1,13,645.0,2072.823466744233,0.65,21,9,0.9,0.355,0.015558488466292217,0.03225
30,10,0,8,500.0,2202.002750324536,0.26666666666666666,15,5,0.5,0.5,0.007568867325079542,0.016666666666666666
30,10,1,16,820.0,2219.5009827690183,0.5333333333333333,28,9,0.9,0.18,0.012315080527350183,0.027333333333333334
40,10,0,16,870.0,2213.862281671262,0.4,26,9,0.9,0.13,0.00982445935326237,0.02175
40,10,1,12,610.0,2241.0282594742544,0.3,19,9,0.9,0.38999999999999996,0.006804911957503674,0.01525
60,10,0,20,910.0,2342.679844499039,0.3333333333333333,29,10,1.0,0.09,0.006474067168111024,0.015166666666666667
60,10,1,17,880.0,2389.405119178951,0.2833333333333333,29,10,1.0,0.12,0.006138208438971804,0.014666666666666666
70,10,0,11,740.0,2324.6323676973516,0.15714285714285714,24,8,0.8,0.26,0.004547570066702645,0.010571428571428572
70,10,1,13,850.0,2148.262719463031,0.18571428571428572,29,10,1.0,0.15,0.005652407888869528,0.012142857142857143
80,10,0,18,935.0,2193.3839919313323,0.225,29,10,1.0,0.065,0.005328524345483551,0.0116875
80,10,1,11,780.0,2329.8194890663226,0.1375,24,10,1.0,0.21999999999999997,0.0041848735688563244,0.00975
120,10,0,10,805.0,2314.4002090540916,0.08333333333333333,24,9,0.9,0.195,0.002898519152862964,0.0067083333333333335
120,10,1,8,890.0,2515.422166662828,0.06666666666666667,30,10,1.0,0.11000000000000001,0.002948477899638709,0.007416666666666667
160,10,0,22,1000.0,2250.6280095131715,0.1375,33,10,1.0,0.0,0.0027770026737345744,0.00625
160,10,1,20,1000.0,2307.5201329413117,0.125,31,10,1.0,0.0,0.0027085354146112487,0.00625
200,10,0,18,1000.0,2325.94802214242,0.09,30,10,1.0,0.0,0.002149661106955659,0.005
200,10,1,14,800.0,2238.076288087312,0.07,26,8,0.8,0.2,0.001787249175236314,0.004
