bees,plants,repeat,total_trips,total_pollen_collected,avg_distance_per_bee,avg_trips_per_bee,total_plant_visits,plants_visited,visitation_rate,avg_pollen_level,pollen_per_distance,pollen_per_bee_per_step
20,10,0,19,705.0,2000.0855672345053,0.95,21,9,0.9,0.295,0.01762424597100601,0.03525
20,10,1,13,535.0,2037.4493679989312,0.65,16,6,0.6,0.465,0.013129160616281893,0.02675
20,10,2,10,510.0,2115.29324501107,0.5,15,7,0.7,0.49000000000000005,0.012055066152242427,0.0255
20,10,3,16,640.0,2025.7663694201049,0.8,19,7,0.7,0.36,0.01579649089009228,0.032
20,10,4,19,780.0,2085.8774758789964,0.95,23,9,0.9,0.22000000000000003,0.01869716723584891,0.039
20,10,5,11,510.0,2067.2679886478745,0.55,15,7,0.7,0.49000000000000005,0.012335120622981557,0.0255
20,10,6,15,570.0,2008.2241772207094,0.75,17,7,0.7,0.43,0.01419164270765961,0.0285
20,10,7,12,400.0,2113.994832451563,0.6,12,4,0.4,0.6,0.009460761063832094,0.02
20,10,8,22,770.0,2215.7444555640177,1.1,23,9,0.9,0.22999999999999998,0.01737564993260914,0.0385
20,10,9,13,505.0,2085.022108343953,0.65,15,6,0.6,0.495,0.012110183340000665,0.02525
30,10,0,22,810.0,2158.3945602996714,0.7333333333333333,24,10,1.0,0.19,0.012509297649569373,0.027
30,10,1,12,610.0,2241.304216422344,0.4,18,9,0.9,0.39,0.009072098818334524,0.02033333333333333
30,10,2,9,610.0,2222.096366496757,0.3,18,8,0.8,0.39,0.00915051824030018,0.02033333333333333
30,10,3,13,650.0,2021.9001250694307,0.43333333333333335,19,9,0.9,0.35,0.01071599254484573,0.021666666666666667
30,10,4,16,810.0,2151.414232279111,0.5333333333333333,24,9,0.9,0.19,0.012549884441081077,0.027
30,10,5,19,745.0,2085.546742091566,0.6333333333333333,22,9,0.9,0.255,0.011907349201115639,0.024833333333333332
30,10,6,18,710.0,2046.7171741866662,0.6,21,9,0.9,0.29,0.011563232558534343,0.023666666666666666
30,10,7,23,770.0,2087.304924085086,0.7666666666666667,23,8,0.8,0.22999999999999998,0.012296558289353415,0.025666666666666667
30,10,8,8,440.0,2193.875613100766,0.26666666666666666,13,7,0.7,0.5599999999999999,0.006685277223140828,0.014666666666666666
30,10,9,23,905.0,2485.1003614982906,0.7666666666666667,27,10,1.0,0.095,0.012139013431424917,0.030166666666666668
40,10,0,6,515.0,2228.032713061072,0.15,15,7,0.7,0.485,0.00577864046812453,0.012875
40,10,1,13,640.0,2103.303806584889,0.325,19,8,0.8,0.36,0.007607079847384968,0.016
40,10,2,18,705.0,2166.552894065182,0.45,21,9,0.9,0.295,0.00813504255921007,0.017625
40,10,3,12,605.0,2153.7544495493166,0.3,18,7,0.7,0.39499999999999996,0.007022620430646111,0.015125
40,10,4,15,575.0,2285.1894067208177,0.375,17,8,0.8,0.425,0.006290507017808961,0.014375
40,10,5,19,770.0,2198.1137170130337,0.475,23,8,0.8,0.22999999999999998,0.008757508699849426,0.01925
40,10,6,22,900.0,2162.9549369561764,0.55,27,9,0.9,0.1,0.010402435860112361,0.0225
40,10,7,17,740.0,2113.325219367699,0.425,22,9,0.9,0.25999999999999995,0.008753976827823568,0.0185
40,10,8,12,680.0,2197.2068972762895,0.3,20,10,1.0,0.31999999999999995,0.007737095683193789,0.017
40,10,9,21,840.0,2155.812171008515,0.525,25,9,0.9,0.16,0.009741108377811943,0.021
60,10,0,18,735.0,2175.5214685736923,0.3,22,8,0.8,0.265,0.005630833883717682,0.01225
60,10,1,23,870.0,2215.066821123723,0.38333333333333336,26,9,0.9,0.13,0.0065460779158996295,0.0145
60,10,2,10,505.0,2257.839934961363,0.16666666666666666,15,7,0.7,0.49499999999999994,0.003727751704777379,0.008416666666666666
60,10,3,22,900.0,2116.5680643607143,0.36666666666666664,27,9,0.9,0.1,0.007086944309787922,0.015
60,10,4,22,800.0,2197.1129483231207,0.36666666666666664,24,8,0.8,0.2,0.006068569821824405,0.013333333333333334
60,10,5,12,505.0,2252.6152764395806,0.2,15,7,0.7,0.49499999999999994,0.0037363977571748556,0.008416666666666666
60,10,6,21,800.0,2235.3230044209786,0.35,24,8,0.8,0.2,0.005964835196954948,0.013333333333333334
60,10,7,19,735.0,2258.6705730456288,0.31666666666666665,22,8,0.8,0.265,0.005423544338952403,0.01225
60,10,8,14,610.0,2315.1936903942074,0.23333333333333334,18,7,0.7,0.39,0.004391281260331869,0.010166666666666666
60,10,9,20,740.0,2128.66867437958,0.3333333333333333,22,10,1.0,0.26,0.00579391874450729,0.012333333333333333
70,10,0,28,1000.0,2272.9473923288483,0.4,30,10,1.0,0.0,0.006285105556744642,0.014285714285714285
70,10,1,19,635.0,2251.241840838121,0.2714285714285714,19,7,0.7,0.365,0.004029522020633441,0.00907142857142857
70,10,2,19,905.0,2229.5564561820074,0.2714285714285714,27,10,1.0,0.095,0.005798719019975343,0.012928571428571428
70,10,3,23,835.0,2181.504898618896,0.32857142857142857,25,9,0.9,0.16499999999999998,0.005468047051429208,0.011928571428571429
70,10,4,19,805.0,2352.402804056795,0.2714285714285714,24,10,1.0,0.195,0.004888618556383234,0.0115
