metric_avg_distance_per_bee,metric_avg_pollen_level,metric_avg_trips_per_bee,metric_plant_visitation_rate,metric_plants_visited,metric_pollen_per_bee_per_step,metric_pollen_per_distance,metric_total_plant_visits,metric_total_pollen_collected,metric_total_trips,param_attraction_strength,param_bee_velocity_mean,param_bee_velocity_std,param_dt,param_max_steps,param_num_bees,param_num_hives,param_num_plants,param_simulation_bounds_max,param_simulation_bounds_min,run_name,timestamp
1942.1465646622044,0.5705,0.8,0.5,50,0.035791666666666666,0.018428921543772302,128,4295.0,96,0.4,24,1.0,0.05,1000,120,2,100,500,-500,sweep_120bees_100plants_r0,2025-12-12T09:03:27.829088
1886.3573017181218,0.4575,1.1583333333333334,0.61,61,0.045208333333333336,0.02396594393445872,162,5425.0,139,0.4,24,1.0,0.05,1000,120,2,100,500,-500,sweep_120bees_100plants_r1,2025-12-12T09:03:46.133701
2042.7206971330759,0.6605000000000001,0.6833333333333333,0.41,41,0.028291666666666666,0.013849992662420048,101,3395.0,82,0.4,24,1.0,0.05,1000,120,2,100,500,-500,sweep_120bees_100plants_r2,2025-12-12T09:04:07.550026
1961.5824854121195,0.425,1.175,0.68,68,0.04791666666666667,0.02442755633424184,171,5750.0,141,0.4,24,1.0,0.05,1000,120,2,100,500,-500,sweep_120bees_100plants_r3,2025-12-12T09:04:25.468029
2005.0763290852758,0.5215,1.075,0.51,51,0.039875,0.019887023462189662,143,4785.0,129,0.4,24,1.0,0.05,1000,120,2,100,500,-500,sweep_120bees_100plants_r4,2025-12-12T09:04:43.788852
2000.469692457096,0.452,1.2416666666666667,0.59,59,0.04566666666666667,0.022827972270140294,164,5480.0,149,0.4,24,1.0,0.05,1000,120,2,100,500,-500,sweep_120bees_100plants_r5,2025-12-12T09:05:01.395686
1848.8580735756982,0.31,1.4333333333333333,0.76,76,0.0575,0.03110027796173386,206,6900.0,172,0.4,24,1.0,0.05,1000,120,2,100,500,-500,sweep_120bees_100plants_r6,2025-12-12T09:05:17.303033
1989.508285591642,0.5635,0.8666666666666667,0.52,52,0.036375,0.01828341216944606,130,4365.0,104,0.4,24,1.0,0.05,1000,120,2,100,500,-500,sweep_120bees_100plants_r7,2025-12-12T09:05:37.355022
2054.3010429251126,0.657,0.625,0.43,43,0.028583333333333332,0.01391389710469777,102,3430.0,75,0.4,24,1.0,0.05,1000,120,2,100,500,-500,sweep_120bees_100plants_r8,2025-12-12T09:05:58.774699
1862.3282266103527,0.336,1.3583333333333334,0.77,77,0.05533333333333333,0.029711912509668738,198,6640.0,163,0.4,24,1.0,0.05,1000,120,2,100,500,-500,sweep_120bees_100plants_r9,2025-12-12T09:06:15.526955
2482.7867808083633,0.065,0.2,1.0,10,0.007791666666666666,0.0031382745900273403,28,935.0,24,0.4,24,1.0,0.05,1000,120,2,10,500,-500,sweep_120bees_10plants_r0,2025-12-12T08:32:18.549281
