bees,plants,repeat,total_trips,total_pollen_collected,avg_distance_per_bee,avg_trips_per_bee,total_plant_visits,plants_visited,visitation_rate,avg_pollen_level,pollen_per_distance,pollen_per_bee_per_step
70,10,0,16,940.0,2295.1693426814654,0.22857142857142856,29,10,1.0,0.06,0.005850797663967887,0.013428571428571429
70,10,1,13,670.0,2343.6485202832114,0.18571428571428572,20,8,0.8,0.32999999999999996,0.004083986352301641,0.009571428571428571
70,10,2,13,740.0,2236.4855437839897,0.18571428571428572,22,9,0.9,0.26,0.004726803891404723,0.010571428571428572
70,10,3,15,845.0,2247.381884466161,0.21428571428571427,26,10,1.0,0.155,0.005371329481146902,0.012071428571428571
70,10,4,17,840.0,2230.7085340515546,0.24285714285714285,28,10,1.0,0.16,0.005379456713784494,0.012
70,10,5,20,970.0,2926.146845948223,0.2857142857142857,30,10,1.0,0.03,0.004735627973124645,0.013857142857142858
70,10,6,16,905.0,2228.179675866739,0.22857142857142856,29,10,1.0,0.095,0.005802302017471884,0.012928571428571428
70,10,7,21,1000.0,2117.789895359961,0.3,33,10,1.0,0.0,0.006745576752922481,0.014285714285714285
70,10,8,19,970.0,2289.9947642646976,0.2714285714285714,31,10,1.0,0.03,0.006051167921159984,0.013857142857142858
70,10,9,16,950.0,2312.508787046569,0.22857142857142856,32,10,1.0,0.05,0.005868703568803032,0.013571428571428571
80,10,0,17,910.0,2264.973486390318,0.2125,30,10,1.0,0.09,0.005022133843221408,0.011375
80,10,1,4,505.0,2268.51450106595,0.05,17,7,0.7,0.495,0.0027826579891968182,0.0063125
80,10,2,17,840.0,2397.154860375535,0.2125,28,9,0.9,0.16,0.004380192608146761,0.0105
80,10,3,19,940.0,2191.146798813811,0.2375,30,10,1.0,0.06,0.005362488723421419,0.01175
80,10,4,17,840.0,2169.509335710084,0.2125,27,10,1.0,0.16,0.004839804017973184,0.0105
80,10,5,17,905.0,2211.2335786137055,0.2125,27,10,1.0,0.095,0.00511592267294176,0.0113125
80,10,6,15,895.0,2140.4045480611194,0.1875,30,10,1.0,0.10500000000000001,0.005226815655075191,0.0111875
80,10,7,9,545.0,2303.030786166409,0.1125,18,8,0.8,0.45499999999999996,0.002958058589976553,0.0068125
80,10,8,13,785.0,2378.9982509225256,0.1625,27,10,1.0,0.215,0.004124635230898096,0.0098125
80,10,9,15,880.0,2315.366470945947,0.1875,29,10,1.0,0.12,0.004750867794810007,0.011
120,10,0,15,945.0,2259.398424503873,0.125,30,10,1.0,0.05500000000000001,0.003485441042444394,0.007875
120,10,1,19,1000.0,2243.2396389069995,0.15833333333333333,32,10,1.0,0.0,0.0037148654066195452,0.008333333333333333
120,10,2,14,935.0,2311.405173918048,0.11666666666666667,29,10,1.0,0.065,0.0033709653134759853,0.007791666666666666
120,10,3,18,1000.0,2187.4719421344134,0.15,31,10,1.0,0.0,0.0038095726728280366,0.008333333333333333
120,10,4,17,935.0,2481.8322748031947,0.14166666666666666,30,10,1.0,0.065,0.0031394815619780483,0.007791666666666666
120,10,5,18,900.0,2330.8134663693577,0.15,27,9,0.9,0.1,0.003217760712393059,0.0075
120,10,6,12,740.0,2215.7068289996078,0.1,23,9,0.9,0.26,0.0027831600218747887,0.006166666666666667
120,10,7,15,1000.0,2242.4581719629973,0.125,30,10,1.0,0.0,0.0037161599879646907,0.008333333333333333
120,10,8,14,1000.0,2315.0331901052364,0.11666666666666667,32,10,1.0,0.0,0.003599660414784169,0.008333333333333333
120,10,9,16,945.0,2236.8528445694847,0.13333333333333333,30,10,1.0,0.05500000000000001,0.003520571332673276,0.007875
160,10,0,16,900.0,2266.118196321112,0.1,30,9,0.9,0.1,0.0024822182749036667,0.005625
160,10,1,21,1000.0,2399.8513588117157,0.13125,31,10,1.0,0.0,0.0026043279626679385,0.00625
160,10,2,12,835.0,2294.6576589337424,0.075,27,9,0.9,0.16499999999999998,0.0022743043955519688,0.00521875
160,10,3,19,1000.0,2328.373705577821,0.11875,33,10,1.0,0.0,0.0026842770063188665,0.00625
160,10,4,14,840.0,2214.759839337507,0.0875,27,10,1.0,0.16,0.0023704601766530195,0.00525
160,10,5,21,1000.0,2296.3290975613563,0.13125,32,10,1.0,0.0,0.0027217353151328975,0.00625
160,10,6,19,1000.0,2287.7996992263897,0.11875,31,10,1.0,0.0,0.0027318825166877205,0.00625
160,10,7,19,1000.0,2295.5941417811205,0.11875,32,10,1.0,0.0,0.0027226067039667163,0.00625
160,10,8,18,935.0,2304.394749538179,0.1125,29,10,1.0,0.065,0.002535915342269869,0.00584375
160,10,9,10,855.0,2328.334273890559,0.0625,28,10,1.0,0.14500000000000002,0.0022950957085173147,0.00534375
200,10,0,21,1000.0,2316.349418412756,0.105,31,10,1.0,0.0,0.0021585689793840236,0.005
200,10,1,18,975.0,2262.455716947522,0.09,31,10,1.0,0.025,0.002154738306470498,0.004875
200,10,2,22,1000.0,2280.6133074376185,0.11,32,10,1.0,0.0,0.0021923927145798103,0.005
200,10,3,18,1000.0,2310.9762042674224,0.09,30,10,1.0,0.0,0.0021635878339063192,0.005
200,10,4,17,1000.0,2305.442534509119,0.085,31,10,1.0,0.0,0.002168781014992687,0.005
200,10,5,16,945.0,2292.547056435506,0.08,32,10,1.0,0.05500000000000001,0.0020610263971403563,0.004725
200,10,6,17,1000.0,2291.305142240203,0.085,30,10,1.0,0.0,0.002182162431282074,0.005
200,10,7,21,1000.0,2304.0149169933125,0.105,31,10,1.0,0.0,0.00217012483865551,0.005
200,10,8,20,1000.0,2321.6224168577987,0.1,31,10,1.0,0.0,0.0021536663170091427,0.005
