metric_avg_distance_per_bee,metric_avg_pollen_level,metric_avg_trips_per_bee,metric_plant_visitation_rate,metric_plants_visited,metric_pollen_per_bee_per_step,metric_pollen_per_distance,metric_total_plant_visits,metric_total_pollen_collected,metric_total_trips,param_attraction_strength,param_bee_velocity_mean,param_bee_velocity_std,param_dt,param_max_steps,param_num_bees,param_num_hives,param_num_plants,param_simulation_bounds_max,param_simulation_bounds_min,run_name,timestamp
2280.703402894047,0.1,0.34,1.0,10,0.009,0.003946150993846746,45,900.0,34,0.4,24,1.0,0.05,1000,100,2,10,500,-500,run_100bees_10plants_2hives,2025-12-11T20:18:39.216618
1994.7998075469427,0.296,0.77,0.8,40,0.0176,0.00882294049428608,176,3520.0,154,0.4,24,1.0,0.05,1000,200,2,50,500,-500,run_200bees_50plants_2hives,2025-12-08T16:44:21.362458
1734.0795654119204,0.7559999999999999,2.65,0.34,17,0.061,0.035177163272499444,61,1220.0,53,0.4,24,1.0,0.05,1000,20,2,50,500,-500,run_20bees_50plants_2hives,2025-12-11T20:17:56.553148
2254.1296543130397,0.52,0.375,0.9,9,0.012,0.005323562456595726,24,480.0,15,0.4,24,1.0,0.05,1000,40,2,10,500,-500,run_40bees_10plants_2hives,2025-12-11T20:19:04.825004
1817.7638006381362,0.5640000000000001,1.84,0.66,33,0.0436,0.02398551450122066,109,2180.0,92,0.4,24,1.0,0.05,1000,50,2,50,500,-500,run_50bees_50plants_2hives,2025-12-11T20:17:07.138176
