bees,plants,repeat,total_trips,total_pollen_collected,avg_distance_per_bee,avg_trips_per_bee,total_plant_visits,plants_visited,visitation_rate,avg_pollen_level,pollen_per_distance,pollen_per_bee_per_step
20,10,0,12,470.0,2070.7810787345124,0.6,14,6,0.6,0.53,0.01134837489164293,0.0235
20,10,1,18,705.0,2123.3473547501562,0.9,21,8,0.8,0.295,0.01660114626141689,0.03525
20,10,2,18,675.0,2018.2484254719668,0.9,20,8,0.8,0.325,0.016722421072672248,0.03375
20,10,3,11,445.0,2094.759559901081,0.55,13,7,0.7,0.555,0.010621744101767312,0.02225
20,10,4,18,735.0,2099.504976956135,0.9,22,8,0.8,0.265,0.017504126164673443,0.03675
20,10,5,20,770.0,2051.971084495414,1.0,23,8,0.8,0.22999999999999998,0.018762447624581062,0.0385
20,10,6,6,310.0,2483.2723050672766,0.3,9,6,0.6,0.69,0.006241764130486719,0.0155
20,10,7,9,445.0,2047.7623748098372,0.45,13,6,0.6,0.5549999999999999,0.01086551851606621,0.02225
20,10,8,13,570.0,2244.1303019504735,0.65,17,7,0.7,0.43,0.012699797322476943,0.0285
20,10,9,10,475.0,2202.396020747433,0.5,14,7,0.7,0.525,0.01078371000322635,0.02375
40,10,0,18,805.0,2122.8880979304313,0.45,24,9,0.9,0.195,0.009480009812867448,0.020125
40,10,1,19,805.0,1995.7276359329287,0.475,24,9,0.9,0.195,0.010084041347952927,0.020125
40,10,2,15,735.0,2121.4240060808793,0.375,22,8,0.8,0.265,0.008661634801590651,0.018375
40,10,3,23,935.0,2068.1788903724746,0.575,28,10,1.0,0.065,0.011302213802109842,0.023375
40,10,4,26,935.0,2153.4232137655817,0.65,28,10,1.0,0.065,0.010854810076615328,0.023375
40,10,5,12,475.0,2171.667194383674,0.3,14,6,0.6,0.525,0.005468149093337556,0.011875
40,10,6,11,505.0,2325.1173097642236,0.275,15,6,0.6,0.495,0.005429833560217323,0.012625
